"Step","cv_test_fold0 - metrics/mauc(B)","cv_test_fold0 - metrics/mauc(B)__MIN","cv_test_fold0 - metrics/mauc(B)__MAX"
"1","0.63368","0.63368","0.63368"
"2","0.76585","0.76585","0.76585"
"3","0.7576","0.7576","0.7576"
"4","0.78888","0.78888","0.78888"
"5","0.84383","0.84383","0.84383"
"6","0.8266","0.8266","0.8266"
"7","0.83888","0.83888","0.83888"
"8","0.86418","0.86418","0.86418"
"9","0.86153","0.86153","0.86153"
"10","0.8592","0.8592","0.8592"
"11","0.87984","0.87984","0.87984"
"12","0.87118","0.87118","0.87118"
"13","0.88366","0.88366","0.88366"
"14","0.88576","0.88576","0.88576"
"15","0.88464","0.88464","0.88464"
"16","0.89223","0.89223","0.89223"
"17","0.89394","0.89394","0.89394"
"18","0.89705","0.89705","0.89705"
"19","0.89153","0.89153","0.89153"
"20","0.89985","0.89985","0.89985"
"21","0.90306","0.90306","0.90306"
"22","0.89658","0.89658","0.89658"
"23","0.90391","0.90391","0.90391"
"24","0.90363","0.90363","0.90363"
"25","0.91142","0.91142","0.91142"
"26","0.9151","0.9151","0.9151"
"27","0.90744","0.90744","0.90744"
"28","0.91331","0.91331","0.91331"
"29","0.92177","0.92177","0.92177"
"30","0.89958","0.89958","0.89958"
"31","0.91377","0.91377","0.91377"
"32","0.91832","0.91832","0.91832"
"33","0.91855","0.91855","0.91855"
"34","0.92086","0.92086","0.92086"
"35","0.92286","0.92286","0.92286"
"36","0.91176","0.91176","0.91176"
"37","0.92578","0.92578","0.92578"
"38","0.91701","0.91701","0.91701"
"39","0.91529","0.91529","0.91529"
"40","0.9265","0.9265","0.9265"
"41","0.9259","0.9259","0.9259"
"42","0.92409","0.92409","0.92409"
"43","0.92675","0.92675","0.92675"
"44","0.91944","0.91944","0.91944"
"45","0.92361","0.92361","0.92361"
"46","0.92546","0.92546","0.92546"
"47","0.92086","0.92086","0.92086"
"48","0.91938","0.91938","0.91938"
"49","0.92105","0.92105","0.92105"
"50","0.92238","0.92238","0.92238"
"51","0.93333","0.93333","0.93333"
"52","0.92839","0.92839","0.92839"
"53","0.93044","0.93044","0.93044"
"54","0.92543","0.92543","0.92543"
"55","0.92271","0.92271","0.92271"
"56","0.92551","0.92551","0.92551"
"57","0.92489","0.92489","0.92489"
"58","0.9219","0.9219","0.9219"
"59","0.93156","0.93156","0.93156"
"60","0.92457","0.92457","0.92457"
"61","0.926","0.926","0.926"
"62","0.9221","0.9221","0.9221"
"63","0.92504","0.92504","0.92504"
"64","0.91222","0.91222","0.91222"
"65","0.92802","0.92802","0.92802"
"66","0.92661","0.92661","0.92661"
"67","0.91234","0.91234","0.91234"
"68","0.92934","0.92934","0.92934"
"69","0.91706","0.91706","0.91706"
"70","0.91234","0.91234","0.91234"
"71","0.90114","0.90114","0.90114"
"72","0.9157","0.9157","0.9157"
"73","0.90436","0.90436","0.90436"
"74","0.91634","0.91634","0.91634"
"75","0.91105","0.91105","0.91105"
"76","0.91726","0.91726","0.91726"
"77","0.90237","0.90237","0.90237"
"78","0.91017","0.91017","0.91017"
"79","0.91676","0.91676","0.91676"
"80","0.90893","0.90893","0.90893"
"81","0.92325","0.92325","0.92325"
"82","0.90826","0.90826","0.90826"
"83","0.90743","0.90743","0.90743"
"84","0.91273","0.91273","0.91273"
"85","0.90839","0.90839","0.90839"
"86","0.91501","0.91501","0.91501"
"87","0.90564","0.90564","0.90564"
"88","0.90749","0.90749","0.90749"
"89","0.91056","0.91056","0.91056"
"90","0.90947","0.90947","0.90947"
"91","0.91233","0.91233","0.91233"
"92","0.90876","0.90876","0.90876"
"93","0.90226","0.90226","0.90226"
"94","0.90235","0.90235","0.90235"
"95","0.90155","0.90155","0.90155"
"96","0.90461","0.90461","0.90461"
"97","0.904","0.904","0.904"
"98","0.9001","0.9001","0.9001"
"99","0.9017","0.9017","0.9017"
"100","0.9306426708390598","0.9306426708390598","0.9306426708390598"
