"Step","cv_test_fold0 - metrics/mAP50-95(B)","cv_test_fold0 - metrics/mAP50-95(B)__MIN","cv_test_fold0 - metrics/mAP50-95(B)__MAX"
"1","0.01024","0.01024","0.01024"
"2","0.02875","0.02875","0.02875"
"3","0.0209","0.0209","0.0209"
"4","0.0396","0.0396","0.0396"
"5","0.05748","0.05748","0.05748"
"6","0.05854","0.05854","0.05854"
"7","0.07028","0.07028","0.07028"
"8","0.09966","0.09966","0.09966"
"9","0.11074","0.11074","0.11074"
"10","0.11691","0.11691","0.11691"
"11","0.1187","0.1187","0.1187"
"12","0.14017","0.14017","0.14017"
"13","0.13757","0.13757","0.13757"
"14","0.15411","0.15411","0.15411"
"15","0.14883","0.14883","0.14883"
"16","0.16143","0.16143","0.16143"
"17","0.15998","0.15998","0.15998"
"18","0.15458","0.15458","0.15458"
"19","0.15871","0.15871","0.15871"
"20","0.17623","0.17623","0.17623"
"21","0.17457","0.17457","0.17457"
"22","0.17928","0.17928","0.17928"
"23","0.19093","0.19093","0.19093"
"24","0.18097","0.18097","0.18097"
"25","0.18421","0.18421","0.18421"
"26","0.21091","0.21091","0.21091"
"27","0.21486","0.21486","0.21486"
"28","0.2185","0.2185","0.2185"
"29","0.22815","0.22815","0.22815"
"30","0.21388","0.21388","0.21388"
"31","0.19624","0.19624","0.19624"
"32","0.22718","0.22718","0.22718"
"33","0.2206","0.2206","0.2206"
"34","0.24153","0.24153","0.24153"
"35","0.23102","0.23102","0.23102"
"36","0.20723","0.20723","0.20723"
"37","0.22452","0.22452","0.22452"
"38","0.22486","0.22486","0.22486"
"39","0.23099","0.23099","0.23099"
"40","0.22397","0.22397","0.22397"
"41","0.25287","0.25287","0.25287"
"42","0.2374","0.2374","0.2374"
"43","0.24726","0.24726","0.24726"
"44","0.2352","0.2352","0.2352"
"45","0.27186","0.27186","0.27186"
"46","0.24366","0.24366","0.24366"
"47","0.26601","0.26601","0.26601"
"48","0.26162","0.26162","0.26162"
"49","0.273","0.273","0.273"
"50","0.25419","0.25419","0.25419"
"51","0.2771","0.2771","0.2771"
"52","0.25429","0.25429","0.25429"
"53","0.28","0.28","0.28"
"54","0.25833","0.25833","0.25833"
"55","0.26809","0.26809","0.26809"
"56","0.27136","0.27136","0.27136"
"57","0.27216","0.27216","0.27216"
"58","0.28386","0.28386","0.28386"
"59","0.26456","0.26456","0.26456"
"60","0.27088","0.27088","0.27088"
"61","0.27313","0.27313","0.27313"
"62","0.26765","0.26765","0.26765"
"63","0.26806","0.26806","0.26806"
"64","0.26884","0.26884","0.26884"
"65","0.27723","0.27723","0.27723"
"66","0.28603","0.28603","0.28603"
"67","0.27583","0.27583","0.27583"
"68","0.28353","0.28353","0.28353"
"69","0.28172","0.28172","0.28172"
"70","0.27558","0.27558","0.27558"
"71","0.26917","0.26917","0.26917"
"72","0.27085","0.27085","0.27085"
"73","0.27265","0.27265","0.27265"
"74","0.27288","0.27288","0.27288"
"75","0.26709","0.26709","0.26709"
"76","0.27353","0.27353","0.27353"
"77","0.27883","0.27883","0.27883"
"78","0.2801","0.2801","0.2801"
"79","0.28939","0.28939","0.28939"
"80","0.27195","0.27195","0.27195"
"81","0.27973","0.27973","0.27973"
"82","0.27538","0.27538","0.27538"
"83","0.27334","0.27334","0.27334"
"84","0.28779","0.28779","0.28779"
"85","0.28334","0.28334","0.28334"
"86","0.27455","0.27455","0.27455"
"87","0.27058","0.27058","0.27058"
"88","0.2772","0.2772","0.2772"
"89","0.2827","0.2827","0.2827"
"90","0.26723","0.26723","0.26723"
"91","0.26728","0.26728","0.26728"
"92","0.26606","0.26606","0.26606"
"93","0.26478","0.26478","0.26478"
"94","0.27062","0.27062","0.27062"
"95","0.27222","0.27222","0.27222"
"96","0.2655","0.2655","0.2655"
"97","0.26943","0.26943","0.26943"
"98","0.26909","0.26909","0.26909"
"99","0.27113","0.27113","0.27113"
"100","0.2795344054897278","0.2795344054897278","0.2795344054897278"
