"Step","cv_test_fold0 - metrics/mAP50(B)","cv_test_fold0 - metrics/mAP50(B)__MIN","cv_test_fold0 - metrics/mAP50(B)__MAX"
"1","0.03751","0.03751","0.03751"
"2","0.07422","0.07422","0.07422"
"3","0.06677","0.06677","0.06677"
"4","0.09246","0.09246","0.09246"
"5","0.14021","0.14021","0.14021"
"6","0.13476","0.13476","0.13476"
"7","0.16338","0.16338","0.16338"
"8","0.20919","0.20919","0.20919"
"9","0.21803","0.21803","0.21803"
"10","0.24879","0.24879","0.24879"
"11","0.27287","0.27287","0.27287"
"12","0.28123","0.28123","0.28123"
"13","0.26586","0.26586","0.26586"
"14","0.2953","0.2953","0.2953"
"15","0.29437","0.29437","0.29437"
"16","0.30057","0.30057","0.30057"
"17","0.32558","0.32558","0.32558"
"18","0.30934","0.30934","0.30934"
"19","0.31816","0.31816","0.31816"
"20","0.35335","0.35335","0.35335"
"21","0.36099","0.36099","0.36099"
"22","0.33188","0.33188","0.33188"
"23","0.34835","0.34835","0.34835"
"24","0.36427","0.36427","0.36427"
"25","0.3749","0.3749","0.3749"
"26","0.39476","0.39476","0.39476"
"27","0.39083","0.39083","0.39083"
"28","0.38268","0.38268","0.38268"
"29","0.40134","0.40134","0.40134"
"30","0.38778","0.38778","0.38778"
"31","0.36283","0.36283","0.36283"
"32","0.41098","0.41098","0.41098"
"33","0.3932","0.3932","0.3932"
"34","0.41432","0.41432","0.41432"
"35","0.39734","0.39734","0.39734"
"36","0.37284","0.37284","0.37284"
"37","0.39884","0.39884","0.39884"
"38","0.38367","0.38367","0.38367"
"39","0.38574","0.38574","0.38574"
"40","0.39927","0.39927","0.39927"
"41","0.43361","0.43361","0.43361"
"42","0.41647","0.41647","0.41647"
"43","0.42801","0.42801","0.42801"
"44","0.41813","0.41813","0.41813"
"45","0.4353","0.4353","0.4353"
"46","0.40664","0.40664","0.40664"
"47","0.43619","0.43619","0.43619"
"48","0.42901","0.42901","0.42901"
"49","0.44786","0.44786","0.44786"
"50","0.44215","0.44215","0.44215"
"51","0.45268","0.45268","0.45268"
"52","0.43858","0.43858","0.43858"
"53","0.46848","0.46848","0.46848"
"54","0.44317","0.44317","0.44317"
"55","0.44376","0.44376","0.44376"
"56","0.45602","0.45602","0.45602"
"57","0.4593","0.4593","0.4593"
"58","0.47371","0.47371","0.47371"
"59","0.45051","0.45051","0.45051"
"60","0.4504","0.4504","0.4504"
"61","0.45445","0.45445","0.45445"
"62","0.44639","0.44639","0.44639"
"63","0.44771","0.44771","0.44771"
"64","0.44849","0.44849","0.44849"
"65","0.46654","0.46654","0.46654"
"66","0.46808","0.46808","0.46808"
"67","0.46442","0.46442","0.46442"
"68","0.46113","0.46113","0.46113"
"69","0.45047","0.45047","0.45047"
"70","0.45196","0.45196","0.45196"
"71","0.44647","0.44647","0.44647"
"72","0.44812","0.44812","0.44812"
"73","0.44639","0.44639","0.44639"
"74","0.45012","0.45012","0.45012"
"75","0.44552","0.44552","0.44552"
"76","0.44763","0.44763","0.44763"
"77","0.46577","0.46577","0.46577"
"78","0.45495","0.45495","0.45495"
"79","0.46299","0.46299","0.46299"
"80","0.43926","0.43926","0.43926"
"81","0.45415","0.45415","0.45415"
"82","0.44957","0.44957","0.44957"
"83","0.45247","0.45247","0.45247"
"84","0.45897","0.45897","0.45897"
"85","0.45596","0.45596","0.45596"
"86","0.44504","0.44504","0.44504"
"87","0.44559","0.44559","0.44559"
"88","0.45086","0.45086","0.45086"
"89","0.45569","0.45569","0.45569"
"90","0.44237","0.44237","0.44237"
"91","0.44237","0.44237","0.44237"
"92","0.44007","0.44007","0.44007"
"93","0.43654","0.43654","0.43654"
"94","0.44138","0.44138","0.44138"
"95","0.44572","0.44572","0.44572"
"96","0.43182","0.43182","0.43182"
"97","0.43623","0.43623","0.43623"
"98","0.43667","0.43667","0.43667"
"99","0.44102","0.44102","0.44102"
"100","0.4676214866893609","0.4676214866893609","0.4676214866893609"
