"Step","cv_y11_yolo11m_new_fit_fold02 - metrics/mauc(B)","cv_y11_yolo11m_new_fit_fold02 - metrics/mauc(B)__MIN","cv_y11_yolo11m_new_fit_fold02 - metrics/mauc(B)__MAX"
"1","0.73395","0.73395","0.73395"
"2","0.85491","0.85491","0.85491"
"3","0.86142","0.86142","0.86142"
"4","0.82401","0.82401","0.82401"
"5","0.90431","0.90431","0.90431"
"6","0.85954","0.85954","0.85954"
"7","0.9151","0.9151","0.9151"
"8","0.87612","0.87612","0.87612"
"9","0.88762","0.88762","0.88762"
"10","0.87232","0.87232","0.87232"
"11","0.89456","0.89456","0.89456"
"12","0.90451","0.90451","0.90451"
"13","0.88871","0.88871","0.88871"
"14","0.91588","0.91588","0.91588"
"15","0.90679","0.90679","0.90679"
"16","0.89032","0.89032","0.89032"
"17","0.9145","0.9145","0.9145"
"18","0.91928","0.91928","0.91928"
"19","0.91269","0.91269","0.91269"
"20","0.91025","0.91025","0.91025"
"21","0.91385","0.91385","0.91385"
"22","0.89859","0.89859","0.89859"
"23","0.90952","0.90952","0.90952"
"24","0.90598","0.90598","0.90598"
"25","0.91338","0.91338","0.91338"
"26","0.91526","0.91526","0.91526"
"27","0.91222","0.91222","0.91222"
"28","0.9319","0.9319","0.9319"
"29","0.91252","0.91252","0.91252"
"30","0.90727","0.90727","0.90727"
"31","0.91273","0.91273","0.91273"
"32","0.92377","0.92377","0.92377"
"33","0.92042","0.92042","0.92042"
"34","0.91368","0.91368","0.91368"
"35","0.91545","0.91545","0.91545"
"36","0.91443","0.91443","0.91443"
"37","0.91617","0.91617","0.91617"
"38","0.91196","0.91196","0.91196"
"39","0.90928","0.90928","0.90928"
"40","0.93182","0.93182","0.93182"
"41","0.92309","0.92309","0.92309"
"42","0.91273","0.91273","0.91273"
"43","0.90369","0.90369","0.90369"
"44","0.89438","0.89438","0.89438"
"45","0.92076","0.92076","0.92076"
"46","0.91358","0.91358","0.91358"
"47","0.92898","0.92898","0.92898"
"48","0.90602","0.90602","0.90602"
"49","0.91714","0.91714","0.91714"
"50","0.90714","0.90714","0.90714"
"51","0.89712","0.89712","0.89712"
"52","0.8981","0.8981","0.8981"
"53","0.91404","0.91404","0.91404"
"54","0.88854","0.88854","0.88854"
"55","0.89766","0.89766","0.89766"
"56","0.91779","0.91779","0.91779"
"57","0.9108","0.9108","0.9108"
"58","0.90818","0.90818","0.90818"
"59","0.91111","0.91111","0.91111"
"60","0.92021","0.92021","0.92021"
"61","0.92535","0.92535","0.92535"
"62","0.90327","0.90327","0.90327"
"63","0.92021","0.92021","0.92021"
"64","0.89782","0.89782","0.89782"
"65","0.91188","0.91188","0.91188"
"66","0.89293","0.89293","0.89293"
"67","0.913","0.913","0.913"
"68","0.92375","0.92375","0.92375"
"69","0.91655","0.91655","0.91655"
"70","0.90502","0.90502","0.90502"
"71","0.89729","0.89729","0.89729"
"72","0.90041","0.90041","0.90041"
"73","0.90913","0.90913","0.90913"
"74","0.90199","0.90199","0.90199"
"75","0.90694","0.90694","0.90694"
"76","0.89992","0.89992","0.89992"
"77","0.91795","0.91795","0.91795"
"78","0.905","0.905","0.905"
"79","0.91606","0.91606","0.91606"
"80","0.90413","0.90413","0.90413"
"81","0.92083","0.92083","0.92083"
"82","0.90241","0.90241","0.90241"
"83","0.91208","0.91208","0.91208"
"84","0.92199","0.92199","0.92199"
"85","0.91247","0.91247","0.91247"
"86","0.91614","0.91614","0.91614"
"87","0.90677","0.90677","0.90677"
"88","0.91296","0.91296","0.91296"
"89","0.90976","0.90976","0.90976"
"90","0.9058","0.9058","0.9058"
"91","0.90113","0.90113","0.90113"
"92","0.91165","0.91165","0.91165"
"93","0.90132","0.90132","0.90132"
"94","0.90155","0.90155","0.90155"
"95","0.88951","0.88951","0.88951"
"96","0.90237","0.90237","0.90237"
"97","0.88847","0.88847","0.88847"
"98","0.87603","0.87603","0.87603"
"99","0.88402","0.88402","0.88402"
"100","0.87947","0.87947","0.87947"
