"Step","yolo_11_m_one_loss_fold0 - metrics/mAP50-95(B)","yolo_11_m_one_loss_fold0 - metrics/mAP50-95(B)__MIN","yolo_11_m_one_loss_fold0 - metrics/mAP50-95(B)__MAX"
"1","0.01602","0.01602","0.01602"
"2","0.0151","0.0151","0.0151"
"3","0.02237","0.02237","0.02237"
"4","0.02404","0.02404","0.02404"
"5","0.03508","0.03508","0.03508"
"6","0.03459","0.03459","0.03459"
"7","0.04289","0.04289","0.04289"
"8","0.04839","0.04839","0.04839"
"9","0.06689","0.06689","0.06689"
"10","0.06622","0.06622","0.06622"
"11","0.07107","0.07107","0.07107"
"12","0.0781","0.0781","0.0781"
"13","0.07996","0.07996","0.07996"
"14","0.08794","0.08794","0.08794"
"15","0.09929","0.09929","0.09929"
"16","0.11035","0.11035","0.11035"
"17","0.10005","0.10005","0.10005"
"18","0.10894","0.10894","0.10894"
"19","0.11812","0.11812","0.11812"
"20","0.13977","0.13977","0.13977"
"21","0.12894","0.12894","0.12894"
"22","0.13185","0.13185","0.13185"
"23","0.13254","0.13254","0.13254"
"24","0.14502","0.14502","0.14502"
"25","0.14013","0.14013","0.14013"
"26","0.15446","0.15446","0.15446"
"27","0.1524","0.1524","0.1524"
"28","0.15557","0.15557","0.15557"
"29","0.16508","0.16508","0.16508"
"30","0.15703","0.15703","0.15703"
"31","0.17316","0.17316","0.17316"
"32","0.17987","0.17987","0.17987"
"33","0.17873","0.17873","0.17873"
"34","0.17639","0.17639","0.17639"
"35","0.1792","0.1792","0.1792"
"36","0.18179","0.18179","0.18179"
"37","0.18537","0.18537","0.18537"
"38","0.19041","0.19041","0.19041"
"39","0.18685","0.18685","0.18685"
"40","0.18466","0.18466","0.18466"
"41","0.18786","0.18786","0.18786"
"42","0.18844","0.18844","0.18844"
"43","0.19067","0.19067","0.19067"
"44","0.1916","0.1916","0.1916"
"45","0.19409","0.19409","0.19409"
"46","0.19093","0.19093","0.19093"
"47","0.1927","0.1927","0.1927"
"48","0.19055","0.19055","0.19055"
"49","0.19052","0.19052","0.19052"
"50","0.18993","0.18993","0.18993"
"51","0.19258","0.19258","0.19258"
"52","0.19436","0.19436","0.19436"
"53","0.19114","0.19114","0.19114"
"54","0.1927","0.1927","0.1927"
"55","0.19616","0.19616","0.19616"
"56","0.19673","0.19673","0.19673"
"57","0.19706","0.19706","0.19706"
"58","0.19792","0.19792","0.19792"
"59","0.19903","0.19903","0.19903"
"60","0.19882","0.19882","0.19882"
"61","0.19925","0.19925","0.19925"
"62","0.20185","0.20185","0.20185"
"63","0.20208","0.20208","0.20208"
"64","0.20383","0.20383","0.20383"
"65","0.20483","0.20483","0.20483"
"66","0.20418","0.20418","0.20418"
"67","0.20469","0.20469","0.20469"
"68","0.20402","0.20402","0.20402"
"69","0.20335","0.20335","0.20335"
"70","0.20449","0.20449","0.20449"
"71","0.20396","0.20396","0.20396"
"72","0.20453","0.20453","0.20453"
"73","0.20548","0.20548","0.20548"
"74","0.20663","0.20663","0.20663"
"75","0.20643","0.20643","0.20643"
"76","0.20697","0.20697","0.20697"
"77","0.2063","0.2063","0.2063"
"78","0.2069","0.2069","0.2069"
"79","0.20659","0.20659","0.20659"
"80","0.2075","0.2075","0.2075"
"81","0.20693","0.20693","0.20693"
"82","0.20789","0.20789","0.20789"
"83","0.20852","0.20852","0.20852"
"84","0.21041","0.21041","0.21041"
"85","0.21182","0.21182","0.21182"
"86","0.21154","0.21154","0.21154"
"87","0.21235","0.21235","0.21235"
"88","0.21271","0.21271","0.21271"
"89","0.21318","0.21318","0.21318"
"90","0.21287","0.21287","0.21287"
"91","0.21332","0.21332","0.21332"
"92","0.21161","0.21161","0.21161"
"93","0.21226","0.21226","0.21226"
"94","0.21228","0.21228","0.21228"
"95","0.21142","0.21142","0.21142"
"96","0.21148","0.21148","0.21148"
"97","0.21161","0.21161","0.21161"
"98","0.21139","0.21139","0.21139"
"99","0.21148","0.21148","0.21148"
"100","0.2066068598423993","0.2066068598423993","0.2066068598423993"
