epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.2,2.74389,6.36724,1.38641,0.08062,0.12472,0.03934,0.01143,2.45854,3.40748,1.27646,0.000665201,0.000665201,0.000665201
2,169.706,2.50639,3.68249,1.29313,0.2043,0.1804,0.11158,0.0281,2.78604,2.78133,1.47824,0.00128792,0.00128792,0.00128792
3,230.512,2.47386,3.40421,1.28159,0.20375,0.08241,0.08,0.02728,2.35645,2.82444,1.25433,0.00186663,0.00186663,0.00186663
4,288.083,2.39419,3.24211,1.257,0.39303,0.07212,0.14736,0.0396,2.52897,2.70176,1.36472,0.001802,0.001802,0.001802
5,348.958,2.32621,3.07593,1.2364,0.25223,0.18708,0.17816,0.07434,2.11348,2.55246,1.20091,0.001736,0.001736,0.001736
6,410.46,2.21203,2.918,1.18826,0.24092,0.26503,0.17535,0.0719,1.92873,2.3939,1.13358,0.00167,0.00167,0.00167
7,470.407,2.19225,2.85024,1.19804,0.21758,0.23163,0.12965,0.04832,2.18169,2.5683,1.22721,0.001604,0.001604,0.001604
8,536.628,2.14406,2.82315,1.17548,0.32542,0.30067,0.25032,0.13021,1.74076,2.23608,1.07304,0.001538,0.001538,0.001538
9,602.111,2.17692,2.82073,1.1839,0.29223,0.31849,0.23235,0.10248,1.82479,2.41781,1.08985,0.001472,0.001472,0.001472
10,664.94,2.11283,2.78126,1.16843,0.34409,0.28508,0.25343,0.10985,1.8513,2.20451,1.1096,0.001406,0.001406,0.001406
11,723.114,2.02472,2.65251,1.1449,0.27357,0.26503,0.21935,0.10603,1.76885,2.1744,1.07599,0.00134,0.00134,0.00134
12,779.742,2.07854,2.62062,1.16075,0.34128,0.29078,0.26531,0.11759,1.86203,2.16588,1.09117,0.001274,0.001274,0.001274
13,837.69,1.98489,2.53629,1.13065,0.30495,0.33853,0.25659,0.10959,1.8813,2.15382,1.0793,0.001208,0.001208,0.001208
14,898.817,2.02492,2.51675,1.14638,0.35553,0.34076,0.28435,0.1467,1.68226,2.06874,1.05147,0.001142,0.001142,0.001142
15,957.271,1.97087,2.50628,1.12583,0.3249,0.30735,0.25094,0.13705,1.64537,2.12435,1.04555,0.001076,0.001076,0.001076
16,1015.03,1.94956,2.54211,1.10661,0.34089,0.37194,0.28647,0.15289,1.61343,2.1332,1.03284,0.00101,0.00101,0.00101
17,1072.57,1.93268,2.42572,1.10755,0.34746,0.30958,0.279,0.14182,1.72975,2.03992,1.07078,0.000944,0.000944,0.000944
18,1137.54,1.92522,2.43522,1.10126,0.40521,0.3247,0.32379,0.1675,1.64262,2.05376,1.03409,0.000878,0.000878,0.000878
19,1205.24,1.90105,2.37277,1.09743,0.37011,0.3952,0.34642,0.18613,1.54552,2.00775,1.02427,0.000812,0.000812,0.000812
20,1271.66,1.88659,2.3539,1.09623,0.39967,0.34521,0.31841,0.16625,1.60601,1.95131,1.02546,0.000746,0.000746,0.000746
21,1338.38,1.83815,2.29201,1.08122,0.41918,0.35412,0.33325,0.17416,1.56198,1.95657,1.01516,0.00068,0.00068,0.00068
